downo,daytype,SubSystem,StartStn,EndStation,EntTime,EntTimeHHMM,ExTime,EXTimeHHMM,ZVPPT,JNYTYP,DailyCapping,FFare,DFare,RouteID,FinalProduct
3,Tue,LUL,Unstarted,Kings Cross M,0,00:00,633,10:33,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,Sudbury Hill,0,00:00,447,07:27,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,NR,Unstarted,Richmond,0,00:00,966,16:06,Z0304,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,NR,Unstarted,Romford,0,00:00,657,10:57,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
6,Fri,NR,Unstarted,Norwood Junction SR,0,00:00,450,07:30,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
6,Fri,LUL,Unstarted,Clapham Common,0,00:00,439,07:19,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Norwood Junction SR,0,00:00,454,07:34,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,NR,Unstarted,Norbury,0,00:00,955,15:55,Z0203,TKT,N,0,0,XX,LUL Travelcard-7 Day
5,Thu,LUL,Unstarted,Clapham Common,0,00:00,431,07:11,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
2,Mon,LUL,Unstarted,Kings Cross M,0,00:00,498,08:18,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
7,Sat,NR,Unstarted,Clapham Junction,0,00:00,868,14:28,Z0203,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,LUL,Unstarted,Holborn,0,00:00,467,07:47,Z0102,TKT,N,0,0,XX,LUL Travelcard-7 Day
3,Tue,NR,Unstarted,East Croydon,0,00:00,1125,18:45,Z0110,TKT,N,0,0,XX,Freedom Pass (Elderly)
3,Tue,LUL,Unstarted,Kings Cross M,0,00:00,519,08:39,Z0104,TKT,N,0,0,XX,LUL Travelcard-7 Day
4,Wed,LUL,Unstarted,White City,0,00:00,585,09:45,Z0104,TKT,N,0,0,XX,LUL Travelcard-1 Month
